ls,min_temp,max_temp,pressure,storming
237,-68.0,1.0,892.0,False
236,-68.0,2.0,893.0,False
235,-70.0,1.0,893.0,True
235,-68.0,1.0,893.0,True
234,-66.0,3.0,890.0,False
233,-68.0,1.0,887.0,False
233,-72.0,0.0,888.0,False
232,-69.0,2.0,888.0,False
231,-72.0,2.0,890.0,False
231,-68.0,2.0,889.0,False
230,-67.0,4.0,881.0,True
229,-68.0,5.0,879.0,True
229,-71.0,4.0,880.0,True
228,-70.0,1.0,879.0,False
228,-72.0,1.0,881.0,False
227,-70.0,5.0,879.0,False
226,-69.0,-4.0,877.0,False
226,-67.0,-6.0,873.0,False
225,-68.0,-3.0,870.0,False
224,-71.0,-6.0,871.0,False
224,-68.0,-1.0,871.0,False
223,-68.0,-5.0,871.0,False
222,-69.0,-7.0,870.0,False
222,-70.0,-4.0,865.0,False
221,-71.0,-2.0,861.0,False
220,-69.0,-1.0,859.0,False
220,-69.0,-5.0,860.0,False
219,-69.0,-1.0,859.0,False
219,-70.0,-4.0,858.0,False
218,-69.0,3.0,854.0,False
217,-73.0,5.0,850.0,False
217,-74.0,5.0,845.0,False
216,-71.0,5.0,842.0,False
215,-69.0,5.0,842.0,False
215,-71.0,5.0,841.0,False
214,-69.0,5.0,841.0,False
214,-74.0,4.0,841.0,False
213,-70.0,6.0,841.0,False
212,-69.0,1.0,836.0,False
212,-69.0,8.0,833.0,False
211,-69.0,7.0,831.0,False
210,-68.0,0.0,829.0,False
210,-74.0,10.0,828.0,False
209,-70.0,4.0,828.0,False
208,-71.0,5.0,828.0,False
208,-68.0,11.0,823.0,False
207,-71.0,7.0,821.0,False
207,-72.0,4.0,825.0,False
206,-71.0,4.0,823.0,True
205,-70.0,0.0,818.0,False
205,-70.0,6.0,818.0,False
204,-71.0,7.0,813.0,False
204,-69.0,7.0,811.0,False
203,-69.0,5.0,810.0,False
202,-70.0,4.0,810.0,False
202,-72.0,4.0,808.0,False
201,-72.0,8.0,807.0,False
200,-71.0,-6.0,803.0,False
200,-72.0,-8.0,804.0,False
199,-72.0,-8.0,803.0,False
199,-71.0,-9.0,800.0,False
198,-72.0,-9.0,798.0,False
197,-72.0,-9.0,797.0,False
197,-71.0,-8.0,793.0,False
196,-73.0,-7.0,793.0,False
196,-73.0,-9.0,793.0,False
195,-70.0,-8.0,791.0,False
194,-72.0,5.0,791.0,False
194,-72.0,8.0,787.0,False
193,-73.0,7.0,785.0,False
193,-72.0,5.0,784.0,False
192,-78.0,4.0,784.0,True
191,-72.0,6.0,782.0,True
191,-72.0,7.0,782.0,True
190,-74.0,-9.0,781.0,True
190,-75.0,-10.0,779.0,True
189,-74.0,-9.0,779.0,True
188,-76.0,-9.0,775.0,True
188,-75.0,-2.0,775.0,True
187,-75.0,-10.0,774.0,False
187,-75.0,-9.0,771.0,False
186,-75.0,-11.0,771.0,False
185,-73.0,-4.0,770.0,False
185,-73.0,3.0,770.0,False
184,-73.0,1.0,770.0,False
184,-66.0,3.0,751.0,False
178,-73.0,4.0,756.0,False
177,-74.0,2.0,755.0,False
177,-74.0,-1.0,755.0,False
176,-75.0,-3.0,755.0,False
176,-74.0,2.0,753.0,False
175,-73.0,3.0,752.0,False
174,-76.0,-4.0,752.0,False
174,-73.0,-8.0,751.0,False
173,-74.0,-7.0,751.0,False
173,-77.0,-7.0,751.0,False
172,-76.0,1.0,751.0,False
172,-76.0,1.0,749.0,False
171,-75.0,0.0,749.0,False
170,-73.0,-2.0,749.0,False
